ai_score,sector,acronym,name,umr_label,type,city,parent_company,tutelles,domain,year_created,website
30,public,TOPAL,Outils et Optimisations pour le Calcul Haute Performance et l'Apprentissage,,Unité propre,Talence,,"INRIA,Bordeaux INP,BORDEAUX,CNRS",Sciences et technologies de l'information et de la communication,2023,https://www.inria.fr/fr/topal
30,public,STACK,Pile logicielle pour les infrastructures massivement géo distribuées,,Unité propre,Rennes,,"INRIA,IMT Atlantique,Nantes Université",Sciences et technologies de l'information et de la communication,2017,http://www.inria.fr/equipes/stack
30,public,PHIQUS,"Problèmes de calcul quantique, de calcul distribué et de simulation en théorie de l'information quan...",,Unité propre,Palaiseau,,"CNRS,INRIA,IP PARIS",Sciences et technologies de l'information et de la communication,2025,https://www.inria.fr/fr/phiqus
30,public,PLATON,Quantification des Incertitudes en calcul scientifique pour l’ingénierie,,Unité propre,Palaiseau,,"CNRS,INRIA",Sciences et technologies de l'information et de la communication,2020,http://www.inria.fr/equipes/platon
30,public,SPIRALS,Self-adaptation for distributed services and large software systems,,Unité propre,Villeneuve d'Ascq,,"CNRS,INRIA,LILLE",Sciences et technologies de l'information et de la communication,2014,http://www.inria.fr/equipes/spirals
30,public,SUSHI,Sécurité à l’interface logiciel/matériel,,Unité propre,Rennes,,"INRIA,ENS RENNES,CENTRALESUPELEC",Sciences et technologies de l'information et de la communication,2024,https://www.inria.fr/fr/sushi
30,public,STAMP,Sûreté du logiciel et Preuves Mathématiques Formalisées,,Unité propre,,,INRIA,Sciences et technologies de l'information et de la communication,2019,
30,public,QURIOSITY,Traitement d’information et Communications Quantiques à Saclay,,Unité propre,Palaiseau,,"INRIA,IP PARIS",Sciences et technologies de l'information et de la communication,2023,https://www.inria.fr/fr/quriosity
30,public,QINFO,Traitement optimal de l'information avec des dispositifs quantiques,,Unité propre,Lyon,,"LYON 1,INRIA,ENS LYON,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2022,https://www.inria.fr/fr/qinfo
30,public,UMMISCO,Unité de modélisation mathématique et informatique des systèmes complexes,UMI 209,Unité propre,Paris Cedex 05,,"IRD,SORBONNE UNIV.","Mathématiques et leurs interactions,Sciences et technologies de l'information et",2009,https://www.ummisco.fr
30,public,ROBOTLEARN,"Vers des robots a` l’intelligence sociale au travers de l’apprentissage, de la perception et de la c...",,Unité propre,Saint Ismier,,"INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2021,https://www.inria.fr/fr/robotlearn
30,public,WHISPER,Well Honed Infrastructure Software for Programming Environments and Runtimes,,Unité propre,,,INRIA,Sciences et technologies de l'information et de la communication,2014,
30,public,CELESTE,statistique mathématique et apprentissage,,Unité propre,,,"CNRS,INRIA,U PARIS-SACLAY",Sciences et technologies de l'information et de la communication,2019,
30,public,POLARIS,Évaluation et optimisation des performances des grandes infrastructures,,Unité propre,Saint Martin d'Hères,,"CNRS,INRIA,GRENOBLE ALPES",Sciences et technologies de l'information et de la communication,2016,https://www.inria.fr/fr/polaris
30,public,EVREF,Évolution réflexive des systèmes logiciels éternels,,Unité propre,Villeneuve d'Ascq,,"INRIA,LILLE",Sciences et technologies de l'information et de la communication,2023,https://www.inria.fr/fr/evref
25,public,ATILF,Analyse et Traitement Informatique de la Langue Française,UMR 7118,Unité mixte,NANCY Cedex,,"CNRS,LORRAINE",,2001,http://www.atilf.fr/
25,public,,"CYBERNETIQUE, INFORMATIQUE ET COMMUNICATIONS",FR 2819,Structures Fédératives de Recherche,,,ANGERS,Sciences et technologies de l'information et de la communication,2006,
25,public,CERI SN,Centre d'Enseignement de Recherche et d'Innovation Systèmes Numériques,,Unité propre,Villeneuve d'Ascq,,"MinesTélécom,IMT Nord Europe",Sciences et technologies de l'information et de la communication,2019,https://recherche.imt-nord-europe.fr/systemes-numeriques/
25,public,CCIAM,Centre de Calcul Intensif d'Aix-Marseille,,Unité propre,Marseille Cedex 20,,AIX-MARSEILLE,Sciences et technologies de l'information et de la communication,2018,https://mesocentre.univ-amu.fr
25,public,ROMEO,Centre de Calcul Régional ROMEO,,Unité propre,Reims Cedex 2.,,REIMS,Sciences et technologies de l'information et de la communication,2019,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201923174L&PUBLIC=OK
25,public,CRI,Centre de recherche en informatique,UR 1445,Unité propre,PARIS CEDEX 13,,PARIS 1,Sciences et technologies de l'information et de la communication,1992,
25,public,DEDIP,"Département d'Electronique, des Détecteurs et d'Informatique pour la Physique",,Unité propre,Gif-sur-Yvette,,"CEA,U PARIS-SACLAY","Physique,Sciences et technologies de l'information et de la communication",2017,
25,public,DSCIN,Département systèmes et circuits intégrés numériques,,Unité propre,Palaiseau,,CEA,Sciences et technologies de l'information et de la communication,2020,
25,public,EDA,"EDUCATION, DISCOURS,  APPRENTISSAGES",URP 4071,Unité propre,PARIS,,U PARIS Cité,Sciences et technologies de l'information et de la communication,2006,https://eda.u-paris.fr/
25,public,ICVL,FED 4279 - Fédération Informatique Centre Val de Loire,FED 4279,Structures Fédératives de Recherche,Orléans Cedex 2,,"TOURS,ORLEANS,INSA CENTRE VA",Sciences et technologies de l'information et de la communication,2018,
25,public,FLMSN,Fédération Lyonnaise de Modélisation et Sciences Numériques,FR 3403,Structures Fédératives de Recherche,VILLEURBANNE CEDEX,,"EC. CENTRALE LYON,INSA LYON,LYON 1,LYON 2,LYON 3,ENS LYON",Sciences et technologies de l'information et de la communication,2011,http://flmsn.univ-lyon1.fr
25,public,GR²IF,Groupe de Recherche Rouennais en Informatique Fondamentale,,Groupements de Recherche,SAINT-ETIENNE-DU-ROUVRAY,,ROUEN,Sciences et technologies de l'information et de la communication,2018,https://gr2if.univ-rouen.fr/
