Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Organization Description,Investor Names,Organization Industries,SIREN
Mangrove DAO,"Paris, Ile-de-France, France, Europe",Seed,2700000,USD,2021-07-01,https://www.mangrove.exchange/,Mangrove DAO is an order book-based Decentralised exchange that allows liquidity providers to post arbitrary smart contracts as offers.,"Atka Capital, Monday Capital, NOIA Capital, QCP Soteria, Stake Capital Group, Wintermute Ventures, Zee Prime Capital","Blockchain, Ethereum, Finance, Smart Contracts",
Finary,"Paris, Ile-de-France, France, Europe",Seed,2200000,EUR,2021-05-18,https://finary.com/,Finary is a platform that allows everybody to track and manage their wealth online.,"Alexandre Berriche, Didier Valet, Kima Ventures, Philippe Teixeira da Mota, Raphael Vullierme, Speedinvest, Y Combinator","Financial Services, FinTech, Personal Finance, Wealth Management",
Pixyl,"La Tronche, Rhone-Alpes, France, Europe",,2200000,EUR,2021-04-29,https://pixyl.ai/,AI-Powered Brain Image Analysis for Enhanced Patient Care,"Bpifrance, Elaia, Holnest","Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device, Neuroscience",
SpaceAble,"Paris, Ile-de-France, France, Europe",Seed,2300000,EUR,2021-10-31,https://spaceable.eu/fr/,SpaceAble is a forecast company that develops data processing software.,,"Aerospace, Data Management, Space Travel, Sustainability",
Plume-App,"Saint-ouen, Ile-de-France, France, Europe",Seed,2200000,EUR,2021-07-02,https://www.plume-app.co/,Plume is an interactive platform that develops students’ writing skills. How? By making writing fun!,"Evolem Start, Founders Future, MAIF Impact","Apps, Children, EdTech, Education, E-Learning",
Kyanos,"Beauzelle, Midi-Pyrenees, France, Europe",Seed,2600000,USD,2021-04-01,http://kyanos.bio,"Kyanos is a biotech company established in 2016 and based in Toulouse, France.","Ademe, Bpifrance",Biotechnology,
Kyanos,"Beauzelle, Midi-Pyrenees, France, Europe",Seed,2600000,USD,2021-04-01,http://kyanos.bio,"Kyanos is a biotech company established in 2016 and based in Toulouse, France.","Ademe, Bpifrance",Biotechnology,
Scaleflex,"Lyon, Rhone-Alpes, France, Europe",Seed,2115000,EUR,2021-06-01,https://www.scaleflex.com/?listing=crunchbase,"Digital Asset Management, Image Optimisation and CDN Delivery, Web Acceleration","BrightCap Ventures, Oktogon Ventures","Information Technology, Internet, SaaS, Software",
babbar,"Paris, Ile-de-France, France, Europe",Seed,2100000,EUR,2021-05-28,https://www.babbar.tech/,Babbar provides SEO services through its SaaS platforms.,"Bpifrance, GO CAPITAL, Normandie Business Angels, Normandie Participations","SaaS, SEO, Software",
Paladin,"Paris, Ile-de-France, France, Europe",Seed,2550000,USD,2021-10-04,http://paladin.vote/,Paladin is a technological decentralization startup.,"Galaxy Digital, Greenfield, NFX, Semantic Ventures","Apps, Finance, Lending, Software",
