Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Odimma,http://www.odimma-therapeutics.com/,Seed,,1847745.75,2023-04-13,,"Illkirch-graffenstaden, Alsace, France, Europe","Alsace Business Angels, Angels Santé, Bpifrance, Capital Grand Est","BioTech, MedTech, Hardware"
Kleep,https://www.kleep.ai,Seed,,1791608.46,2023-12-08,,Paris,"Chantal Baudron, David Dayan, Eric de Bettignies, Irani CVC, Laurent Grosman, Marc Grosman, Olivier Schaeffer, Philippe Berlan, Rachel Chicheportiche, Rossella Blatt Vital",Other
Tydeo,https://en.tydeo.fr/,Seed,,1785910.01,2023-02-09,,"Saint-renan, Bretagne, France, Europe",Breizh Invest Pme,Entertainment
La Taloche,https://lataloche.com,Seed,,1773362.9,2023-09-22,,"Bailly-romainvilliers, Ile-de-France, France, Europe","Bpifrance, Christophe Courtin, Cyril Fougères, Gabriel James Safar, Gilles Bourcy, Laurent Kretz, Philippe Mangematin, Vincent Mace",Artificial Intelligence
Feve,http://www.feve.co,Seed,,1694603.66,2023-06-13,,"La Marne, Pays de la Loire, France, Europe","Bpifrance, Thierry Fahmy, Thierry Petit","AgriTech, FoodTech"
Waltio,https://www.waltio.com,Seed,,1662971.18,2023-11-26,,Paris,"Clement Coeurdeuil, Crédit Agricole Private Bank, Joan Burkovic, Julien Bouteloup, Owen Simonin",Web3
FlexLiving,https://flexliving.fr/,Seed,,1622838.14,2023-12-19,,Paris,"Clément Alteresco, Henri de Lorgeril",PropTech
Apiday,https://apiday.com/,Seed,,1613664.08,2023-06-30,,Paris,"bd Partners, Revent, Speedinvest","Artificial Intelligence, CleanTech, SaaS"
Greenbids,https://www.greenbids.ai,Seed,,1590639.32,2023-06-01,,Paris,"Elaia, Famille C Participations","Artificial Intelligence, MedTech, CleanTech, ClimateTech, Energy, Mobility, Entertainment, MarTech"
BeeToGreen,https://beetogreen.com,Seed,,1578931.08,2023-09-19,,"Levallois-perret, Ile-de-France, France, Europe","Bpifrance, France Active, Tudigo","CleanTech, Mobility"
Les Nouveaux Affineurs,https://lesnouveauxaffineurs.com/,Seed,,1570583.89,2023-10-01,,Paris,,Other
enCaps,https://encaps.io,Seed,,1560111.79,2023-10-16,,Montpellier,"Bpifrance, Christophe Carniel, Pierre Ortolan, Régis Bonnesée",Other
CLHYNN,https://clhynn.com,Seed,,1535199.56,2023-07-26,,"Besançon, Franche-Comte, France, Europe",,"Energy, Mobility, DeepTech, Web3"
Qontrol,https://www.qontrol.io,Seed,,1531589.06,2023-04-13,,Paris,"AG2R La Mondiale, Auriga Cyber Ventures, BNP Paribas, Bpifrance",Cybersecurity
Oxtaam,https://www.oxtaam.com,Seed,,1509503.88,2023-12-01,,"Écully, Rhone-Alpes, France, Europe",,SaaS
OMAJ,https://omaj.fr/,Seed,,1508106.06,2023-07-04,,"Saint-ouen, Ile-de-France, France, Europe","Archipel Ventures, Chantal Baudron, Didier Valet, Elsa Hermal, Frederic Renaudeau, Leia Capital, Motier Ventures, Philippe Zaouati, Sébastien Lafond",Other
Kikleo,https://kikleo.com,Seed,,1507466.74,2023-11-14,,Paris,"Avelana, Good Only Ventures",FoodTech
