Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
BeReal.,"Paris, Ile-de-France, France, Europe",Series B,60000000,USD,2022-10-20,https://bereal.com,BeReal. is a social media app where users share unfiltered photos at random times to capture authentic moments in their daily lives.,"Coatue, DST Global","Apps, Mobile Apps, Photo Sharing, Social Media, Software",
Malt,"Paris, Ile-de-France, France, Europe",Series D,60000000,EUR,2022-07-31,https://www.malt.com,Malt is a curated local marketplace that connects the best freelancers and customers.,"Bpifrance, Eurazeo, Goldman Sachs Growth Equity","Consumer, Marketplace, Search Engine",
PlayPlay,"Paris, Ile-de-France, France, Europe",Series B,55000000,USD,2022-01-20,https://playplay.com,PlayPlay is a video creation tool designed for communication professionals.,"Balderton Capital, Insight Partners","Internet, Media and Entertainment, Software, Video",
Sellsy,"La Rochelle, Poitou-Charentes, France, Europe",Series B,55000000,EUR,2022-01-11,https://go.sellsy.com/,Sellsy is an online customer relationship management (CRM) and sales management platform.,PSG Equity,"Billing, CRM, Customer Service, E-Commerce, Enterprise Software, Information Technology, Internet, SaaS, Software",
Kaiko,"Paris, Ile-de-France, France, Europe",Series B,53000000,USD,2022-06-28,http://www.kaiko.com,Digital Assets Market Data Provider Scaled for Institutions,"Alven, Anthemis, Eight Roads Ventures, Point Nine, Revaia, Underscore VC","Analytics, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology",
Devialet,"Paris, Ile-de-France, France, Europe",Growth Equity,50000000,EUR,2022-09-13,https://www.devialet.com/en-eu/,Devialet is an audio tech company that offers solutions ranging from ADH intelligence to sound amplification.,"Bpifrance, Crédit Mutuel Equity","Audio, Consumer Electronics, Electronics",
Team Vitality,"Paris, Ile-de-France, France, Europe",Growth Equity,50000000,EUR,2022-01-06,https://vitality.gg/en,Team Vitality is an e-sports platform.,Rewired.GG,"Gaming, Sports, Video Games",
Zenchef,"Paris, Ile-de-France, France, Europe",Growth Equity,50000000,EUR,2022-09-20,http://zenchef.com/en/,"Zenchef is a single and fully-integrated platform for restaurants : Reservation, Mobile payment, loyalty.",PSG Equity,"E-Commerce, Restaurants, SaaS",
Shiro Games,"Bordeaux, Aquitaine, France, Europe",Private Equity,50000000,EUR,2022-10-11,https://shirogames.com/,"Shiro Games is an independent video game development company, develops video and mobile games.",Cathay Capital Private Equity,"Developer Platform, Gaming, Mobile Apps, Video Games",
R3,"Brébières, Nord-Pas-de-Calais, France, Europe",Private Equity,50000000,EUR,2022-10-06,https://www.r3-charge.fr,R3 addresses the current constraints of electric mobility and offers an ultra-fast charging network.,"Amundi Energy Transition(AET), Banque des Territoires","Electric Vehicle, Transportation",
E-Space,"Toulouse, Midi-Pyrenees, France, Europe",Seed,50000000,USD,2022-02-07,https://www.e-space.com/,"E-Space is bridging Earth & space with the most sustainable LEO space system, delivering real-time, anywhere comms, IoT & Smart-IoT services",Prime Movers Lab,"Information Services, Satellite Communication",
